labelIndex,modelLabel,scientificName,taxonClass
3694,Myadestes coloratus,Myadestes coloratus,Aves
3695,Myadestes elisabeth,Myadestes elisabeth,Aves
3696,Myadestes genibarbis,Myadestes genibarbis,Aves
3697,Myadestes melanops,Myadestes melanops,Aves
3698,Myadestes obscurus,Myadestes obscurus,Aves
3699,Myadestes occidentalis,Myadestes occidentalis,Aves
3700,Myadestes palmeri,Myadestes palmeri,Aves
3701,Myadestes ralloides,Myadestes ralloides,Aves
3702,Myadestes townsendi,Myadestes townsendi,Aves
3703,Myadestes unicolor,Myadestes unicolor,Aves
3704,Mycerobas affinis,Mycerobas affinis,Aves
3705,Mycerobas carnipes,Mycerobas carnipes,Aves
3706,Mycerobas icterioides,Mycerobas icterioides,Aves
3707,Mycteria americana,Mycteria americana,Aves
3708,Mycteria leucocephala,Mycteria leucocephala,Aves
3709,Myiagra alecto,Myiagra alecto,Aves
3710,Myiagra caledonica,Myiagra caledonica,Aves
3711,Myiagra cyanoleuca,Myiagra cyanoleuca,Aves
3712,Myiagra ferrocyanea,Myiagra ferrocyanea,Aves
3713,Myiagra galeata,Myiagra galeata,Aves
3714,Myiagra inquieta,Myiagra inquieta,Aves
3715,Myiagra nana,Myiagra nana,Aves
3716,Myiagra rubecula,Myiagra rubecula,Aves
3717,Myiagra ruficollis,Myiagra ruficollis,Aves
3718,Myiagra vanikorensis,Myiagra vanikorensis,Aves
3719,Myiarchus antillarum,Myiarchus antillarum,Aves
3720,Myiarchus apicalis,Myiarchus apicalis,Aves
3721,Myiarchus barbirostris,Myiarchus barbirostris,Aves
3722,Myiarchus cephalotes,Myiarchus cephalotes,Aves
3723,Myiarchus cinerascens,Myiarchus cinerascens,Aves
3724,Myiarchus crinitus,Myiarchus crinitus,Aves
3725,Myiarchus ferox,Myiarchus ferox,Aves
3726,Myiarchus nuttingi,Myiarchus nuttingi,Aves
3727,Myiarchus panamensis,Myiarchus panamensis,Aves
3728,Myiarchus phaeocephalus,Myiarchus phaeocephalus,Aves
3729,Myiarchus sagrae,Myiarchus sagrae,Aves
3730,Myiarchus stolidus,Myiarchus stolidus,Aves
